Beta Prediccion,Beta Real
0.05841646941673759,0.05743384321498187
0.058207186803856885,0.05635744204121575
0.057936352657008416,0.05382460843389943
0.05765415284933375,0.05466083685362312
0.05739598422176468,0.05479103864723009
0.05716187261310589,0.05515462006018183
0.0569381853874638,0.054967210821706004
0.056706841853671405,0.05571519590290216
0.056484330460275095,0.055125680545309454
0.05627513603922762,0.05308224511447117
0.05608050040390117,0.05491876154423492
0.055929175558794564,0.05475382568064457
0.05585373579919804,0.05550071926157517
0.05578052425184892,0.05579115571085372
0.055737022736582924,0.054450748871443945
0.055724471182212375,0.05395354184286539
0.055734647626537945,0.05447985806847265
0.055772393502818325,0.05489670184226489
0.05582852156698397,0.05596876651373188
0.05591962355220535,0.05631527014949913
0.056023042650536176,0.05746538270126652
0.056161750601458456,0.05665686472620657
0.05630735216618264,0.05645957861049497
0.05645364233091274,0.05639926515496828
0.056603219306856654,0.05488893368013987
0.05673760153839995,0.05726905598029298
0.056885760215483,0.05824031923334968
0.05705662999767949,0.05814121335417814
0.057239699130825876,0.05779885823048425
0.05739500622863004,0.05737659782215492
0.05754811983114129,0.05906466543613357
0.0577113140232888,0.058653255692952856
0.057863941430944255,0.058012857847433735
0.057986508290801604,0.05777681364808758
0.058114703664522344,0.05619288228747436
0.05820349576339614,0.05515478516213561
0.058292405673343345,0.05425178154344428
0.058376464515324106,0.05486810984340183
